Uniprotid,pdbid_open,pdbid_closed,Length,TM-score,RMSD
A2RJ53,3fto_A,3drf_A,576,0.507,4.660
O76728,4bp8_A,4bp9_A,714,0.523,4.310
P31133,6yed_A,6ye0_A,343,0.565,3.790
P00558,2xe6_A,2wzd_A,416,0.598,3.620
P40131,3tee_A,3vjp_A,197,0.612,2.480
Q7DAU8,3l6g_A,3l6h_A,253,0.617,3.340
P21589,7qga_A,4h2i_A,522,0.621,4.270
A0QTT2,7cy2_A,7cyr_A,438,0.633,2.800
Q5F9M1,3zsf_A,2yln_A,258,0.636,3.450
Q9X6R4,3iuj_A,3iuq_A,689,0.648,3.330
Q18A65,6hnj_A,6hni_A,316,0.656,3.010
Q9ERE7,2rqm_A,2rqk_A,139,0.664,1.600
P62495,2ktv_A,2ktu_A,161,0.708,3.120
A0A075Q0W3,6mka_A,6mkj_A,639,0.720,3.460
P71447,2wfa_A,2wf5_A,220,0.748,2.920
P33284,3o6w_A,3o8m_A,484,0.749,3.140
Q9Z4N6,1si1_A,1si0_A,319,0.749,2.400
A6UVT1,6hac_A,6hae_A,341,0.754,2.880
B7IE18,6nc7_A,6nc6_A,474,0.755,2.790
B3EYN2,5ho2_A,5ho0_A,847,0.766,3.450
Q53W80,7c63_A,7c66_A,415,0.781,2.040
Q9SS90,6k8b_A,6k85_B,290,0.824,2.180
Q9X9P9,2olo_A,2oln_A,388,0.837,1.760
